version,currency,min,max,avg,median,volume,souvenir,stat_trak,weapon,skin,condition
,USD,4.06,8.61,5.35,4.87,7,True,False,Souvenir AK-47,Steel Delta,2
,USD,58.03,58.03,58.03,58.03,1,False,False,AK-47,Black Laminate,1
,USD,27.33,35.98,32.02,31.67,7,False,False,AK-47,Aquamarine Revenge,0
,USD,2485.4,2625.52,2555.46,2555.46,2,False,False,AK-47,Fire Serpent,4
,USD,9.23,9.68,9.46,9.45,2,False,False,AK-47,Predator,0
,USD,321.5,321.5,321.5,321.5,1,False,False,AWP,Oni Taiji,0
,USD,39.21,39.21,39.21,39.21,1,False,False,AK-47,Black Laminate,0
,USD,2.04,11.51,3.25,2.66,14,False,False,AK-47,Emerald Pinstripe,1
,USD,503.44,621.38,551.24,551.31,7,False,False,AK-47,Fire Serpent,0
,USD,84.9,150.87,115.58,118.97,5,False,False,AK-47,First Class,2
,USD,451.11,455.73,453.42,453.42,2,False,False,AK-47,Red Laminate,4
,USD,61.22,81.84,71.32,70.28,7,False,False,AK-47,Jaguar,0
,USD,738.82,738.82,738.82,738.82,1,False,False,AK-47,Jaguar,4
,USD,86.13,97.81,91.97,91.97,2,False,False,AK-47,Neon Revolution,1
,USD,23.21,75.74,30.71,25.58,10,False,False,AK-47,Redline,0
,USD,21.34,30.83,27.0,27.32,12,False,False,AK-47,Redline,1
,USD,232.13,254.11,243.12,243.12,2,False,False,AK-47,First Class,4
,USD,696.39,696.39,696.39,696.39,1,False,False,AK-47,Jet Set,2
,USD,25.93,33.28,29.27,28.94,4,False,False,AK-47,Orbit Mk01,1
,USD,13.16,15.74,14.76,14.96,5,False,False,AK-47,Point Disarray,0
,USD,6287.22,6962.74,6786.76,6948.53,4,False,False,AWP,Dragon Lore,2
,USD,24.36,32.49,28.42,28.42,2,False,False,AWP,Sun in Leo,0
,USD,93.46,126.43,105.31,100.67,4,False,False,AWP,Elite Build,4
,USD,23.18,24.94,23.85,23.42,3,False,False,AWP,Sun in Leo,1
,USD,11.95,13.65,12.63,12.21,5,False,False,AWP,Elite Build,1
,USD,158.68,209.13,184.51,185.7,3,False,False,AWP,Graphite,3
,USD,11.44,16.52,13.08,12.57,5,False,False,AWP,Fever Dream,0
,USD,1615.72,2317.57,1867.1,1767.57,4,False,False,AWP,Medusa,0
,USD,638.36,921.21,732.79,698.26,5,False,False,AWP,Oni Taiji,4
,USD,29.29,52.22,37.11,33.45,4,False,False,AWP,Pink DDPAT,0
,USD,3.96,4.29,4.13,4.16,3,False,False,AWP,Mortis,1
,USD,0.12,0.6000000000000001,0.23,0.16,6,False,False,AWP,Safari Mesh,1
,USD,3.02,3.42,3.23,3.23,2,False,False,AWP,Worm God,1
,USD,35.33,35.33,35.33,35.33,1,False,False,AWP,Pink DDPAT,1
,USD,444.88,444.88,444.88,444.88,1,False,False,M4A4,Daybreak,2
,USD,208.92,208.92,208.92,208.92,1,False,False,M4A4,Buzz Kill,1
,USD,17.75,37.02,25.6,22.04,3,False,False,M4A4,Desert Storm,3
,USD,3.5300000000000002,4.35,3.66,3.55,11,False,False,M4A4,Evil Daimyo,0
,USD,4.8100000000000005,9.08,7.28,7.78,13,False,False,M4A4,Faded Zebra,2
,USD,70.87,75.85,73.36,73.35,2,False,False,M4A4,Desert Storm,4
,USD,16.66,30.17,22.56,22.38,8,False,False,M4A4,Faded Zebra,3
,USD,954.14,954.14,954.14,954.14,1,False,False,M4A4,Poseidon,2
,USD,70.7,84.74,76.44,75.63,12,False,False,M4A4,Royal Paladin,2
,USD,2599.82,2668.33,2634.08,2634.07,2,False,False,M4A4,Poseidon,4
,USD,0.08,0.48,0.16,0.12,8,False,False,M4A4,Urban DDPAT,1
,USD,33.66,37.91,35.78,35.78,2,False,False,M4A4,The Battlestar,0
,USD,12.77,22.44,19.36,21.12,6,False,False,M4A4,éľŤçŽ‹,Dragon King
,USD,81.25,81.25,81.25,81.25,1,False,False,M4A4,Zirka,4
,USD,208.92,208.92,208.92,208.92,1,True,False,Souvenir AK-47,Safari Mesh,0
,USD,47.2,51.14,49.18,49.17,2,True,False,Souvenir M4A4,Radiation Hazard,2
,USD,135.38,135.38,135.38,135.38,1,False,True,StatTrakâ„˘ AK-47,Jaguar,0
,USD,44.08,44.08,44.08,44.08,1,False,True,StatTrakâ„˘ AK-47,Cartel,1
,USD,179.9,179.9,179.9,179.9,1,False,True,StatTrakâ„˘ AWP,BOOM,2
,USD,29.62,36.93,33.28,33.28,2,False,True,StatTrakâ„˘ AK-47,Frontside Misty,0
,USD,22.13,22.13,22.13,22.13,1,False,True,StatTrakâ„˘ AWP,Fever Dream,1
,USD,16.33,16.33,16.33,16.33,1,True,False,Souvenir AK-47,Safari Mesh,2
,USD,18.22,18.22,18.22,18.22,1,True,False,Souvenir AK-47,Safari Mesh,3
,USD,191.19,191.19,191.19,191.19,1,True,False,Souvenir M4A4,Tornado,4
,USD,9.29,20.57,13.71,12.89,5,True,False,Souvenir M4A4,Tornado,0
,USD,10.85,58.03,18.72,14.04,16,True,False,Souvenir M4A4,Tornado,2
,USD,49.62,49.62,49.62,49.62,1,False,True,StatTrakâ„˘ AK-47,Orbit Mk01,0
,USD,380.48,380.48,380.48,380.48,1,False,True,StatTrakâ„˘ AK-47,Aquamarine Revenge,4
,USD,76.05,126.7,101.82,104.09,10,False,True,StatTrakâ„˘ AK-47,Cartel,4
,USD,336.59,336.59,336.59,336.59,1,False,True,StatTrakâ„˘ AK-47,Fuel Injector,1
,USD,126.37,126.37,126.37,126.37,1,False,True,StatTrakâ„˘ AK-47,Red Laminate,0
,USD,174.1,257.29,200.46,185.2,4,False,True,StatTrakâ„˘ AK-47,Vulcan,0
,USD,962.18,962.18,962.18,962.18,1,False,True,StatTrakâ„˘ AWP,Lightning Strike,3
,USD,51.39,67.86,61.67,65.62,7,False,True,StatTrakâ„˘ AK-47,Aquamarine Revenge,1
,USD,265.34,281.42,273.38,273.38,2,False,True,StatTrakâ„˘ AK-47,Bloodsport,1
,USD,3.48,15.25,5.42,4.55,13,False,True,StatTrakâ„˘ AK-47,Elite Build,0
,USD,2065.95,2065.95,2065.95,2065.95,1,False,True,StatTrakâ„˘ AK-47,Fire Serpent,2
,USD,34.94,41.4,38.49,39.11,3,False,True,StatTrakâ„˘ AK-47,Frontside Misty,1
,USD,899.04,927.36,913.2,913.2,2,False,True,StatTrakâ„˘ AK-47,Fuel Injector,4
,USD,502.42,545.25,521.0,515.33,3,False,True,StatTrakâ„˘ AK-47,Fuel Injector,3
,USD,97.3,130.74,113.47,114.07,10,False,True,StatTrakâ„˘ AK-47,Neon Revolution,3
,USD,11.1,11.1,11.1,11.1,1,True,False,Souvenir M4A4,Tornado,1
,USD,85.84,109.29,99.79,102.02,4,False,True,StatTrakâ„˘ AK-47,Orbit Mk01,4
,USD,70.59,99.0,87.48,92.85,3,False,True,StatTrakâ„˘ AK-47,Point Disarray,4
,USD,354.0,461.94,397.29,386.61,4,False,True,StatTrakâ„˘ AK-47,The Empress,4
,USD,102.0,152.8,120.74,120.8,8,False,True,StatTrakâ„˘ AK-47,Wasteland Rebel,2
,USD,186.75,348.62,253.34,256.26,5,False,True,StatTrakâ„˘ AWP,BOOM,3
,USD,109.7,123.03,116.59,117.03,3,False,True,StatTrakâ„˘ AWP,Corticera,4
,USD,52.95,52.95,52.95,52.95,1,False,True,StatTrakâ„˘ AWP,Corticera,2
,USD,97.68,399.68,164.16,103.23,5,False,True,StatTrakâ„˘ AWP,Electric Hive,4
,USD,50.93,60.75,55.17,54.48,4,False,True,StatTrakâ„˘ AWP,Electric Hive,2
,USD,345.05,1496.26,547.79,394.62,7,False,True,StatTrakâ„˘ AWP,Graphite,4
,USD,60.81,81.34,70.16,66.77,8,False,True,StatTrakâ„˘ AWP,Hyper Beast,2
,USD,56.8,69.36,61.04,59.95,5,False,True,StatTrakâ„˘ AWP,Hyper Beast,1
,USD,6.96,11.27,8.21,7.54,5,False,True,StatTrakâ„˘ AWP,Mortis,0
,USD,600.88,688.28,644.58,644.58,2,False,True,StatTrakâ„˘ AWP,Oni Taiji,3
,USD,5.86,6.43,6.23,6.42,3,False,True,StatTrakâ„˘ AWP,PAW,1
,USD,128.96,154.68,144.57,150.88,5,False,True,StatTrakâ„˘ AWP,Redline,3
,USD,126.79,126.79,126.79,126.79,1,False,True,StatTrakâ„˘ AK-47,Jaguar,1
,USD,77.07,140.09,109.14,110.25,3,False,True,StatTrakâ„˘ AWP,Elite Build,4
,USD,303.39,303.39,303.39,303.39,1,False,True,StatTrakâ„˘ M4A4,Asiimov,1
,USD,406.23,555.84,481.36,481.99,3,False,True,StatTrakâ„˘ M4A4,Asiimov,2
,USD,49.91,79.2,61.46,58.36,4,False,True,StatTrakâ„˘ M4A4,The Battlestar,3
,USD,46.43,46.43,46.43,46.43,1,False,True,StatTrakâ„˘ M4A4,éľŤçŽ‹,Dragon King
,USD,95.68,143.75,123.13,127.66,9,False,True,StatTrakâ„˘ M4A4,Desolate Space,4
,USD,240.09,266.95,255.66,254.01,7,False,True,StatTrakâ„˘ M4A4,Hellfire,4
,USD,89.72,178.74,114.86,112.46,11,False,True,StatTrakâ„˘ M4A4,éľŤçŽ‹,Dragon King
,USD,44.41,59.65,52.03,52.02,2,False,True,StatTrakâ„˘ M4A4,Desert-Strike,3
,USD,9.53,16.3,12.92,12.91,2,False,True,StatTrakâ„˘ M4A4,Faded Zebra,3
,USD,107.94,108.4,108.17,108.17,2,False,True,StatTrakâ„˘ M4A4,X-Ray,3
,USD,48.93,58.37,54.9,57.38,3,False,True,StatTrakâ„˘ AWP,Neo-Noir,1
,USD,0.02,0.41000000000000003,0.05,0.03,47,False,False,M4A4,Mainframe,2
,USD,52.23,58.1,55.17,55.17,2,False,True,StatTrakâ„˘ M4A4,The Emperor,0
,USD,0.05,0.05,0.05,0.05,2,False,False,M4A4,Mainframe,1
,USD,50.42,58.35,54.69,55.27,7,False,False,M4A4,The Emperor,1
,USD,391.14,447.4,424.59,435.24,3,False,True,StatTrakâ„˘ M4A4,The Emperor,4
,USD,2.61,4.17,3.46,3.59,3,False,True,StatTrakâ„˘ AK-47,Uncharted,1
,USD,69.56,72.37,70.96,70.96,2,False,True,StatTrakâ„˘ AK-47,Asiimov,1
,USD,499.13,598.62,548.07,547.27,4,False,True,StatTrakâ„˘ AK-47,Asiimov,4
,USD,8.87,22.63,13.87,10.11,3,True,False,Souvenir M4A4,Converter,4
,USD,35.98,52.23,40.44,37.37,5,True,False,Souvenir AK-47,Black Laminate,2
,USD,15726.81,15726.81,15726.81,15726.81,1,False,False,AK-47,Wild Lotus,4
,USD,675.58,746.17,710.87,710.87,2,False,False,AWP,Containment Breach,4
,USD,59.84,73.41,64.6,62.56,4,True,False,Souvenir AK-47,Black Laminate,3
,USD,14121.94,14121.94,14121.94,14121.94,1,False,False,AWP,Gungnir,4
,USD,37.55,44.57,39.85,38.72,6,False,False,AWP,Wildfire,0
,USD,11.46,15.24,13.35,13.35,2,False,True,StatTrakâ„˘ AK-47,Rat Rod,1
,USD,12.91,17.71,15.15,14.97,4,False,True,StatTrakâ„˘ AK-47,Rat Rod,0
,USD,10.84,10.84,10.84,10.84,1,False,False,M4A4,Dark Blossom,0
,USD,194.0,194.0,194.0,194.0,1,False,False,AWP,Silk Tiger,1
,USD,194.15,194.15,194.15,194.15,1,False,False,AWP,Silk Tiger,2
,USD,374.47,410.86,392.67,392.67,2,False,False,AK-47,X-Ray,0
,USD,118.07,167.1,148.95,155.29,4,False,True,StatTrakâ„˘ M4A4,Cyber Security,4
,USD,2195.68,2832.59,2500.19,2472.3,3,False,False,AK-47,Gold Arabesque,3
,USD,1277.45,1703.45,1490.45,1490.45,2,False,False,AK-47,X-Ray,3
,USD,1.5,1.5,1.5,1.5,17,False,False,,,
,USD,181.2,181.2,181.2,181.2,1,False,False,AK-47,Panthera onca,1
,USD,8.47,12.09,10.28,10.75,5,False,True,StatTrakâ„˘ AWP,Exoskeleton,1
,USD,278.56,301.77,290.16,290.16,3,False,False,AK-47,Panthera onca,3
,USD,916.88,916.88,916.88,916.88,1,False,False,AWP,Fade,3
,USD,31.53,38.48,34.53,33.98,5,False,True,StatTrakâ„˘ AK-47,Legion of Anubis,1
,USD,26.52,26.52,26.52,26.52,1,False,True,StatTrakâ„˘ M4A4,Cyber Security,0
,USD,208.92,222.48,215.71,215.7,2,False,False,AK-47,Panthera onca,2
,USD,352.83,473.87,413.35,413.35,2,False,False,AWP,Silk Tiger,3
,USD,874.79,1009.77,942.29,942.29,2,False,False,AK-47,X-Ray,2
,USD,29.04,37.44,33.24,33.24,2,False,True,StatTrakâ„˘ M4A4,In Living Color,1
,USD,78.54,78.54,78.54,78.54,1,False,False,M4A4,Red DDPAT,3
,USD,1415.99,1971.94,1719.94,1740.98,5,False,False,AWP,Desert Hydra,3
,USD,9.29,10.28,9.98,10.17,5,False,False,AWP,POP AWP,2
,USD,1160.65,1160.65,1160.65,1160.65,1,False,False,AK-47,Gold Arabesque,0
,USD,127.6,127.6,127.6,127.6,1,True,False,Souvenir AK-47,Panthera onca,1
,USD,6.67,9.15,7.85,7.73,3,True,False,Souvenir M4A4,Red DDPAT,0
,USD,1166.14,1729.87,1439.24,1495.28,11,True,False,Souvenir AWP,Desert Hydra,2
,USD,2060.53,2442.09,2267.4,2299.57,3,True,False,Souvenir AK-47,Gold Arabesque,3
Tier 2,USD,1073.59,1073.59,1073.59,1073.59,1,False,True,StatTrakâ„˘ AK-47,Case Hardened,3
Tier 2,USD,6532.18,6532.18,6532.18,6532.18,1,False,True,StatTrakâ„˘ AK-47,Case Hardened,4
,USD,49.88,60.23,53.52,50.45,3,False,True,StatTrakâ„˘ AK-47,Nightwish,0
,USD,254.09,254.09,254.09,254.09,1,True,False,Souvenir M4A4,Eye of Horus,0
,USD,0.05,0.09,0.07,0.07,5,False,False,M4A4,Poly Mag,0
,USD,0.08,1.02,0.21,0.1,11,False,True,StatTrakâ„˘ M4A4,Poly Mag,2
,USD,8.98,8.98,8.98,8.98,1,False,True,StatTrakâ„˘ AWP,Duality,1
,USD,1360.84,1416.63,1388.74,1388.74,2,False,False,M4A4,Eye of Horus,4
,USD,351.12,351.12,351.12,351.12,1,False,False,M4A4,Eye of Horus,1
,USD,27.07,32.5,29.88,29.23,10,False,False,M4A4,Temukau,1
,USD,3.41,4.57,3.81,3.7,5,False,False,AWP,Black Nile,1
,USD,17.41,17.41,17.41,17.41,1,True,False,Souvenir AK-47,Steel Delta,0
,USD,29.49,33.18,31.27,31.14,3,False,True,StatTrakâ„˘ AWP,Chrome Cannon,0
,USD,110.98,110.98,110.98,110.98,1,False,True,StatTrakâ„˘ AK-47,The Outsiders,4
,USD,145.08,181.07,160.24,154.58,3,False,False,AWP,CMYK,0
,USD,1.01,3.48,1.74,1.71,7,False,False,M4A4,Turbine,1
,USD,0.02,0.03,0.02,0.02,6,False,False,M4A4,Steel Work,0
,USD,1.51,1.88,1.75,1.8599999999999999,3,False,False,AK-47,Wintergreen,1
,USD,0.09,0.15,0.12,0.12,8,False,True,StatTrakâ„˘ M4A4,Choppa,0
,USD,54.5,65.02,58.19,57.09,9,False,True,StatTrakâ„˘ AWP,Printstream,0
,USD,50.05,50.05,50.05,50.05,1,True,False,Souvenir AWP,Crakow!,0
,USD,203.11,291.8,247.46,247.45,2,True,False,Souvenir AWP,LongDog,2
,USD,64.98,75.49,70.36,70.47,4,True,False,Souvenir M4A4,Hellish,2
,USD,1.16,1.16,1.16,1.16,1,False,False,M4A4,Sheet Lightning,1
,USD,61.75,70.99,66.16,66.59,5,False,True,StatTrakâ„˘ M4A4,Full Throttle,1
,USD,68.99,94.98,80.43,78.96,8,False,True,StatTrakâ„˘ AK-47,The Oligarch,1
,USD,100.98,100.98,100.98,100.98,1,False,False,AK-47,First Class,1
,USD,2.11,2.12,2.12,2.11,2,True,False,,,
,USD,218.63,293.39,260.81,259.72,6,True,False,Souvenir AK-47,B the Monster,2
,USD,87.05,87.05,87.05,87.05,1,True,False,Souvenir AWP,Crakow!,3
,USD,4887.69,4887.69,4887.69,4887.69,1,False,False,AWP,Dragon Lore,0
,USD,2.98,5.11,3.83,3.39,3,False,False,AK-47,Breakthrough,1
,USD,0.1,0.1,0.1,0.1,1,False,False,M4A4,Zubastick,0
,USD,301.97,301.97,301.97,301.97,1,False,False,AK-47,Black Laminate,4
,USD,174.82,423.64,227.73,210.7,16,False,False,AK-47,Aquamarine Revenge,4
,USD,46.8,58.91,52.66,52.23,5,False,False,AK-47,Neon Rider,1
,USD,22.95,27.25,24.76,24.06,3,False,False,AK-47,Orbit Mk01,0
,USD,25.6,25.6,25.6,25.6,1,False,False,AK-47,Predator,3
,USD,34.37,56.69,41.5,41.37,125,False,False,AK-47,Aquamarine Revenge,2
,USD,54.42,108.81,72.11,69.79,78,False,False,AK-47,Aquamarine Revenge,3
,USD,27.64,39.15,34.84,34.7,14,False,False,AK-47,Aquamarine Revenge,1
,USD,33.65,60.45,38.95,35.6,10,False,False,AK-47,Black Laminate,2
,USD,98.66,264.63,152.66,103.3,5,False,False,AK-47,Black Laminate,3
,USD,166.98,284.36,201.02,200.43,103,False,False,AK-47,Bloodsport,4
,USD,127.67,290.16,148.47,147.68,126,False,False,AK-47,Bloodsport,2
,USD,128.81,209.11,165.81,166.41,136,False,False,AK-47,Bloodsport,3
,USD,1814.15,2002.2,1903.29,1915.07,5,False,False,AWP,Medusa,2
,USD,103.43,150.61,127.85,127.21,13,False,False,AK-47,Bloodsport,1
,USD,49.91,416.86,74.92,64.47,131,False,False,AK-47,Blue Laminate,4
,USD,13.56,1177.2,46.89,16.85,77,False,False,AK-47,Blue Laminate,2
,USD,13.37,638.36,30.19,18.74,112,False,False,AK-47,Blue Laminate,3
,USD,14.66,27.04,17.63,17.92,12,False,False,AK-47,Cartel,0
,USD,63.08,83.07,70.1,67.49,9,False,False,AK-47,Cartel,4
,USD,14.29,324.32,27.24,18.33,75,False,False,AK-47,Cartel,2
,USD,19.64,38.3,23.63,23.35,90,False,False,AK-47,Cartel,3
,USD,165.22,241.28,205.28,209.07,9,False,False,AK-47,Case Hardened,0
,USD,10.09,10.09,10.09,10.09,1,False,False,M4A4,Faded Zebra,0
,USD,660.13,982.98,740.96,675.6,7,False,False,AK-47,Case Hardened,4
,USD,190.35,751.65,253.6,234.56,32,False,False,AK-47,Case Hardened,2
,USD,247.25,1662.45,340.7,290.16,49,False,False,AK-47,Case Hardened,3
,USD,160.91,324.98,227.88,201.56,16,False,False,AK-47,Case Hardened,1
,USD,1.15,2.41,1.6600000000000001,1.6600000000000001,44,False,False,AK-47,Elite Build,0
,USD,9.32,27.28,12.22,10.96,66,False,False,AK-47,Elite Build,4
,USD,1.5899999999999999,55.6,2.92,2.37,119,False,False,AK-47,Elite Build,2
,USD,2.46,37.85,4.21,3.45,156,False,False,AK-47,Elite Build,3
,USD,1.11,4.64,1.9300000000000002,1.74,40,False,False,AK-47,Elite Build,1
,USD,2.7199999999999998,6.77,3.45,2.89,7,False,False,AK-47,Emerald Pinstripe,0
,USD,22.7,43.99,30.36,29.75,33,False,False,AK-47,Emerald Pinstripe,4
,USD,2.31,29.02,4.84,3.04,38,False,False,AK-47,Emerald Pinstripe,2
,USD,2.94,12.74,5.21,5.1,50,False,False,AK-47,Emerald Pinstripe,3
,USD,666.96,1102.62,849.61,818.33,31,False,False,AK-47,Fire Serpent,2
,USD,1010.09,2001.95,1369.1,1289.48,11,False,False,AK-47,Fire Serpent,3
,USD,89.61,116.77,98.79,94.01,5,False,False,AWP,Snake Camo,3
,USD,138.49,138.5,138.5,138.49,2,False,False,AK-47,First Class,3
,USD,15.56,17.99,16.97,17.32,14,False,False,AK-47,Frontside Misty,0
,USD,114.05,204.58,159.73,156.83,6,False,False,AK-47,Frontside Misty,4
,USD,15.12,81.13,20.06,19.49,223,False,False,AK-47,Frontside Misty,2
,USD,24.37,70.01,33.79,33.16,145,False,False,AK-47,Frontside Misty,3
,USD,15.67,19.01,18.0,17.98,13,False,False,AK-47,Frontside Misty,1
,USD,101.49,129.08,115.55,116.09,27,False,False,AK-47,Fuel Injector,0
,USD,389.96,510.58,457.99,484.0,5,False,False,AK-47,Fuel Injector,4
,USD,150.88,207.97,177.63,176.52,57,False,False,AK-47,Fuel Injector,2
,USD,200.63,298.38,249.28,250.71,33,False,False,AK-47,Fuel Injector,3
,USD,100.83,179.78,134.43,131.87,28,False,False,AK-47,Fuel Injector,1
,USD,4354.79,4642.6,4498.7,4498.7,2,False,False,AK-47,Hydroponic,4
,USD,1961.5,2248.72,2083.46,2040.14,3,False,False,AK-47,Hydroponic,3
,USD,71.38,129.27,86.29,85.56,30,False,False,AK-47,Jaguar,2
,USD,151.41,228.45,177.77,173.81,10,False,False,AK-47,Jaguar,3
,USD,72.81,83.13,78.12,78.05,5,False,False,AK-47,Jaguar,1
,USD,385.05,454.5,419.77,419.77,2,False,False,AK-47,Jet Set,3
,USD,11.53,116.07,29.52,14.79,13,False,False,AK-47,Jungle Spray,2
,USD,35.71,51.87,42.74,42.79,7,False,False,AK-47,Jungle Spray,3
,USD,79.34,101.13,91.63,91.52,8,False,False,AK-47,Neon Revolution,0
,USD,208.92,289.52,253.81,255.34,20,False,False,AK-47,Neon Revolution,4
,USD,86.98,105.98,97.7,97.54,42,False,False,AK-47,Neon Revolution,2
,USD,92.85,131.88,107.79,106.32,32,False,False,AK-47,Neon Revolution,3
,USD,40.62,51.05,46.03,47.3,5,False,False,AK-47,Neon Rider,0
,USD,197.01,417.83,249.16,226.18,25,False,False,AK-47,Neon Rider,4
,USD,33.01,75.76,51.02,50.24,215,False,False,AK-47,Neon Rider,2
,USD,68.48,219.36,84.23,81.25,122,False,False,AK-47,Neon Rider,3
,USD,97.6,151.41,120.52,118.86,20,False,False,AK-47,Orbit Mk01,4
,USD,23.39,36.01,29.92,30.05,63,False,False,AK-47,Orbit Mk01,2
,USD,30.15,66.16,38.48,37.14,46,False,False,AK-47,Orbit Mk01,3
,USD,65.54,94.38,77.4,70.99,9,False,False,AK-47,Point Disarray,4
,USD,11.61,75.33,15.44,14.9,102,False,False,AK-47,Point Disarray,2
,USD,17.42,29.02,22.77,22.78,61,False,False,AK-47,Point Disarray,3
,USD,10.1,14.51,13.08,13.79,8,False,False,AK-47,Point Disarray,1
,USD,8.16,40.51,15.27,10.12,6,False,False,AK-47,Predator,2
,USD,58.39,252.31,94.66,64.18,6,False,False,AK-47,Red Laminate,0
,USD,54.72,636.84,102.49,69.52,34,False,False,AK-47,Red Laminate,2
,USD,168.35,1508.85,497.13,208.92,7,False,False,AK-47,Red Laminate,3
,USD,55.53,70.67,64.08,65.05,4,False,False,AK-47,Red Laminate,1
,USD,24.65,626.74,46.33,34.27,402,False,False,AK-47,Redline,2
,USD,134.1,241.06,174.88,172.87,29,False,False,AK-47,Redline,3
,USD,0.07,4.14,0.39,0.09,30,False,False,AK-47,Safari Mesh,0
,USD,12.89,25.27,15.99,15.81,18,False,False,AK-47,Safari Mesh,4
,USD,0.06,3.37,0.15,0.09,174,False,False,AK-47,Safari Mesh,2
,USD,0.24,6.85,0.62,0.34,47,False,False,AK-47,Safari Mesh,3
,USD,0.07,0.09,0.09,0.09,43,False,False,AK-47,Safari Mesh,1
,USD,74.94,92.84,84.34,83.57,13,False,False,AK-47,The Empress,0
,USD,223.13,322.59,261.58,257.7,12,False,False,AK-47,The Empress,4
,USD,81.25,107.29,91.67,90.8,88,False,False,AK-47,The Empress,2
,USD,88.55,123.24,106.19,105.69,102,False,False,AK-47,The Empress,3
,USD,81.25,95.18,87.84,86.99,27,False,False,AK-47,The Empress,1
,USD,98.66,141.62,111.43,107.62,10,False,False,AK-47,Vulcan,0
,USD,580.89,907.63,668.73,638.36,18,False,False,AK-47,Vulcan,4
,USD,161.77,352.57,222.97,216.37,82,False,False,AK-47,Vulcan,2
,USD,318.52,696.39,407.96,394.62,83,False,False,AK-47,Vulcan,3
,USD,116.07,159.32,139.57,140.55,20,False,False,AK-47,Vulcan,1
,USD,54.34,70.56,62.45,62.44,2,False,False,AK-47,Wasteland Rebel,0
,USD,459.61,459.61,459.61,459.61,1,False,False,AK-47,Wasteland Rebel,4
,USD,66.48,162.48,81.28,77.81,31,False,False,AK-47,Wasteland Rebel,2
,USD,86.91,132.89,105.89,103.2,14,False,False,AK-47,Wasteland Rebel,3
,USD,63.96,533.9,116.36,83.59,118,False,False,AWP,Asiimov,0
,USD,94.35,393.46,135.77,130.47,177,False,False,AWP,Asiimov,2
,USD,75.93,116.07,95.02,93.94,54,False,False,AWP,Asiimov,1
,USD,400.59,406.23,403.41,403.41,2,False,False,AWP,BOOM,4
